RCIndex,41028,41029,41030,41031,41032,41033,41034,41035,41036,41037,41038,41039,41040,41041,41042,41043,41044,41045,41046,41047,41048,41049,41050,41051,41052,41053,41054,41055,41056,41057,41058,41059,41060,41061,41062,41063,41064,41065,41066,41067,41068,41069,41070,41071,41072,41073,41074,41075,41076,41077,41078,41079,41080,41081,41082,41083,41084,41085,41086,41087,41088,41089,41090,41091,41092,41093,41094,41095,41096,41097,41098,41099,41100,41101,41102,41103,41104,41105,41106,41107,41108,41109,41110,41111,41112,41113,41114,41115,41116,41117,41118,41119,41120,41121,41122,41123,41124,41125,41126,41127,41128,41129,41130,41131,41132,41133,41134,41135,41136,41137,41138,41139,41140,41141,41142,41143,41144,41145,41146,41147,41148,41149,41150,41151,41152,41153,41154,41155,41156,41157,41158,41159,41160,41161,41162,41163,41164,41165,41166,41167,41168,41169,41170,41171,41172,41173,41174,41175,41176,41177,41178,41179,41180,41181,41182,41183,41184,41185,41186,41187,41188,41189,41190,41191,41192,41193,41194,41195,41196,41197,41198,41199,41200,41201,41202,41203,41204,41205,41206
41028,--,16.01786,--,--,--,--,40.528889,21.296421,52.401695,--,31.179691,--,40.45401,--,--,25.082827,30.535271,61.211067,--,29.081337,--,0.794975,63.725189,--,30.600496,29.013767,--,50.985035,48.471054,--,47.042908,--,--,--,--,--,27.256359,19.119047,53.904175,--,--,32.844543,4.62417,56.522621,21.989265,7.126328,44.496361,36.992794,30.984276,--,--,37.137604,1.914782,50.161476,17.359827,--,29.333715,52.124828,65.069305,--,--,67.927437,--,29.53269,--,29.30044,36.864925,--,--,--,--,--,46.874386,18.42116,--,50.072289,--,50.072289,33.617298,--,31.3741,--,--,35.474087,34.185341,7.487756,44.909637,26.577015,7.832045,--,--,5.515187,--,0.794975,--,45.774673,41.821232,2.526238,31.81641,40.528889,55.91581,--,--,--,5.0702,--,--,34.372128,38.027424,--,35.885757,46.414246,--,63.175381,38.338921,34.126293,35.371445,--,58.73114,--,11.983888,56.581463,25.082827,--,11.929223,--,62.598511,--,--,54.930435,3.102618,18.346415,56.249977,21.769218,36.88628,14.560317,--,--,--,44.328514,--,--,--,50.072289,45.849892,--,--,--,--,--,--,54.940464,31.767002,--,--,31.726898,38.654167,--,34.194675,53.675388,--,31.918142,58.73114,--,24.602676,29.110779,41.587296,61.627312,--,50.970673,21.296421,37.604794,--,--,31.688141,23.601162,--,44.480865,--
41029,24.035109,--,--,--,--,--,93.58371,5.938543,105.456528,--,15.69692,--,93.508812,--,--,8.420234,13.872682,114.265884,--,9.289272,--,6.671698,116.779999,--,26.653738,82.068565,--,104.039864,101.525894,--,52.769329,--,--,--,--,--,80.311157,3.776175,--,--,--,28.897785,28.659279,109.577408,38.780605,16.892069,97.551186,90.047577,36.710697,--,--,90.192421,10.508883,103.216309,62.045925,--,13.850944,105.179657,--,--,--,--,--,82.587494,--,82.35524,89.919739,--,--,--,--,--,99.929169,49.953342,--,103.127106,--,103.127106,86.672104,--,84.428902,--,--,31.527325,87.240143,31.522865,97.964439,11.051283,0.858301,--,24.035109,29.550297,--,22.323809,--,98.829506,94.876038,26.561348,15.860379,93.58371,108.970619,--,--,--,18.039354,--,--,87.426918,91.082237,--,88.940575,99.469078,--,--,91.393745,18.170263,18.708855,--,--,--,41.475693,109.636276,8.420234,--,64.984032,--,115.653328,--,--,107.985268,19.323887,71.401222,109.30481,65.846725,21.403509,67.61512,--,--,--,28.372478,--,--,--,103.127106,30.367123,--,--,--,--,--,--,--,27.820244,--,--,16.244127,22.69813,--,18.711905,106.730194,--,84.972946,--,--,8.646646,82.165581,25.63126,--,--,104.025505,5.813649,33.658031,--,--,84.742928,55.62405,--,28.524834,--
41030,--,--,--,--,--,--,126.740891,--,138.613693,--,--,40.800194,125.525978,--,--,--,--,--,--,137.301483,--,--,--,--,--,104.268539,--,137.197021,134.68306,--,--,--,--,--,32.054993,--,101.074623,--,140.116165,--,--,--,--,--,125.293404,--,130.708359,115.853577,147.487625,--,61.868595,123.349602,--,136.373489,--,--,--,138.336807,151.281296,--,--,--,--,117.333755,37.708103,--,123.07692,44.157398,--,64.340393,59.697701,--,125.735168,--,42.94553,--,--,--,--,--,106.560097,54.49918,--,--,120.391602,--,--,--,--,62.233803,--,--,--,--,--,131.986679,128.033218,--,--,126.740891,--,52.654415,30.751638,--,142.215546,--,--,113.232918,121.510956,--,124.149872,132.626251,--,149.38736,124.550926,--,--,--,144.943115,--,--,--,--,--,--,--,--,--,--,141.142441,143.500076,128.289017,142.461975,--,--,--,--,--,--,152.548691,--,--,--,--,--,--,--,--,--,--,--,141.152451,--,30.751638,--,--,146.874313,--,--,--,--,--,144.943115,--,--,124.386841,149.807465,147.839294,--,137.182678,--,--,--,66.28167,111.191345,--,--,--,--
41031,45.781506,81.841766,--,--,--,--,33.375175,87.120316,45.247978,--,97.003593,--,33.300293,--,--,90.906746,96.359184,54.057358,--,34.871696,--,89.158203,56.57148,--,48.400135,21.860054,--,43.831318,41.317341,--,74.515732,--,--,--,--,--,20.102646,93.920288,46.750458,--,--,50.64418,50.40567,49.368904,22.863626,52.907829,37.342648,29.839081,58.457096,--,--,29.983892,47.696285,43.007763,83.792336,--,95.157616,44.971111,57.915596,--,--,60.773735,--,22.378977,--,22.146727,29.711214,--,--,--,--,--,39.720669,71.699738,--,42.918579,--,1.73396,26.463585,--,24.220387,--,--,53.273724,27.031622,53.269257,4.702369,92.400909,82.633278,--,45.781506,51.296688,--,44.070202,--,38.62096,34.667503,48.307739,37.606762,33.375175,48.7621,--,--,--,39.785744,--,--,27.218418,30.873711,--,28.732048,39.260532,--,56.021664,31.185209,39.916645,57.613163,--,51.577423,--,77.807793,49.427753,90.906746,--,86.730461,--,55.444801,--,--,47.776718,41.070278,25.859238,49.09626,87.593124,102.71019,89.361549,--,--,--,50.11887,--,--,--,42.918579,--,--,--,--,--,--,--,47.786747,49.566639,--,--,97.550804,44.444523,--,100.018585,46.521679,--,24.764429,51.577423,--,30.393034,21.957066,47.377651,54.473595,--,43.816959,29.200417,55.40443,--,--,24.534428,77.370468,--,50.271217,--
41032,53.693935,89.754196,--,0.354067,--,--,41.287601,95.032745,53.160408,--,104.916023,--,41.212723,--,--,98.819176,104.271614,61.96978,--,42.784126,--,97.070633,64.483894,--,56.312565,29.77248,--,51.743748,49.229767,--,82.428169,--,--,--,--,--,28.015072,101.832718,54.662888,--,--,58.55661,58.3181,57.281334,30.776052,60.820259,45.255074,37.751507,66.369522,--,--,37.896317,55.608715,50.920189,91.704765,--,103.070045,52.883541,65.828033,--,--,68.68615,--,30.291403,--,30.059153,37.623638,--,--,--,--,7.912429,47.633099,79.612175,--,50.831001,--,2.670558,34.376011,--,32.132812,--,--,61.186153,34.944054,61.181686,5.638967,100.313339,90.545708,--,53.693935,59.209118,--,51.982632,--,46.533386,42.579945,56.220169,45.519188,41.287601,56.674522,--,--,--,47.698174,--,--,35.13084,38.786137,--,36.64447,47.172958,--,63.934093,39.097633,47.829071,65.525589,--,59.489853,--,85.720222,57.340176,98.819176,--,94.642891,--,63.357224,--,--,55.689148,48.982708,33.771664,57.00869,95.505554,110.62262,97.273979,--,--,--,58.0313,--,--,--,50.831001,--,--,--,--,--,--,--,55.699177,57.479069,--,--,105.463234,52.356953,--,107.931015,54.434101,--,32.676857,59.489853,--,38.305462,29.869492,55.290081,62.386024,--,51.729385,37.112846,63.31686,--,--,32.446854,85.282898,--,58.18364,--
41033,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.98283,--,7.204496,--,--,--,--,10.004941,--,--,--,--,--,--,--,15.477047,--,--,--,--,6.521609,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.157971,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.87047,--,--,--,--,--,--,--,--,--,11.113892,7.854879,--,--,5.21326,--,--,--,--,--,--,--,--,9.138069,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.241201,--,--,--,--,--,--,--,--,--,--,10.027432,--,--,--,--,--,2.194723,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.620425,--,--,--,--,--,--,--,--,--
41034,--,--,--,--,--,--,--,--,11.872806,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.089754,10.456146,7.94217,--,--,--,--,--,--,--,--,--,13.375288,--,--,--,--,--,--,--,3.967473,--,20.746733,11.649122,--,--,--,9.632588,--,--,--,11.59594,24.540419,--,--,--,--,--,--,--,--,--,14.58457,--,--,--,--,--,--,--,--,--,--,8.66617,--,--,--,--,--,--,--,--,--,--,--,--,1.184692,--,24.205564,5.245787,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.885361,--,22.646484,--,--,--,--,18.202248,--,--,--,--,--,--,--,--,17.010639,--,14.401544,--,--,15.721086,--,--,--,--,--,3.335465,--,12.005613,--,4.289293,--,--,0.550838,--,--,--,19.935438,--,14.411577,--,--,--,--,--,--,--,--,--,--,18.202248,--,--,--,--,21.098417,--,10.441785,--,--,21.472317,--,--,--,4.289293,--,--
41035,22.340593,11.184767,--,--,--,--,83.0242,--,94.897018,--,9.883271,--,82.949303,--,--,2.48169,7.934136,103.706375,--,19.93895,--,0.733154,--,--,25.767405,71.509056,--,--,--,--,42.20982,--,--,--,--,--,69.751648,2.102016,--,--,--,28.011452,26.964764,--,4.455704,11.078421,--,79.488068,26.151182,--,--,79.632912,4.570338,92.656799,12.526734,--,8.037294,--,--,--,--,--,--,72.027985,--,71.795731,79.360229,--,--,--,--,--,89.369659,13.588066,--,92.567596,--,92.567596,76.112595,--,73.869392,--,--,30.640991,--,29.82835,87.40493,5.112739,12.687801,--,22.340593,27.855782,--,20.629293,--,--,--,24.866833,26.510057,83.0242,98.41111,--,--,--,33.320679,--,--,76.867409,80.522728,--,78.381065,--,--,--,80.834236,28.819941,12.770308,--,--,--,7.150794,99.076767,2.48169,--,54.424515,--,105.093819,--,--,97.425758,17.629372,60.841709,98.7453,16.936127,15.589864,57.055611,--,--,--,33.042763,--,--,--,92.567596,24.553474,--,--,--,--,--,--,--,26.93391,--,--,10.430479,42.105827,--,12.898259,96.170685,--,74.413437,--,--,19.296324,10.23899,38.953796,--,--,93.465996,--,32.771694,--,--,74.183418,18.76807,--,39.174511,--
41036,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.873927,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.528738,--,--,3.848279,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
