"ID","Longitude","Latitude","Elevation","centroid","ID","Longitude","Latitude","GEOID"
1014,-97502134,35495020,0.00,,,,,
81,-97519718,35472868,0.00,,,,,
82,-97503034,35521420,0.00,,,,,
658,-97494210,35536260,0.00,,,,,
83,-97503334,35482557,0.00,,,,,
284,-97502626,35490141,0.00,,,,,
10083,-97503344,35482557,0.00,,,,,
1206,-97503033,35486601,0.00,,,,,
84,-97476304,35493124,0.00,,,,,
143,-97472691,35493128,0.00,,,,,
85,-97397893,35493465,0.00,,,,,
761,-97388612,35492814,0.00,,,,,
933,-97406813,35493187,0.00,,,,,
86,-97305192,35507648,0.00,,,,,
87,-97300641,35511310,0.00,,,,,
10087,-97300650,35511310,0.00,,,,,
649,-97303027,35511281,0.00,,,,,
88,-97476571,35493129,0.00,,,,,
1057,-97481420,35493136,0.00,,,,,
89,-97307059,35507640,0.00,,,,,
651,-97309438,35507629,0.00,,,,,
90,-97507887,35420909,0.00,,,,,
582,-97507878,35424492,0.00,,,,,
91,-97519631,35472161,0.00,,,,,
20765,-97519498,35469800,0.00,,,,,
92,-97476715,35492889,0.00,,,,,
124,-97476730,35491247,0.00,,,,,
93,-97476730,35478087,0.00,,,,,
953,-97476730,35475898,0.00,,,,,
94,-97476720,35478705,0.00,,,,,
1222,-97476720,35482554,0.00,,,,,
95,-97476710,35493259,0.00,,,,,
142,-97476701,35495043,0.00,,,,,
96,-97406269,35463621,0.00,,,,,
966,-97406204,35460295,0.00,,,,,
97,-97547847,35390851,0.00,,,,,
273,-97547851,35387185,0.00,,,,,
98,-97411879,35442494,0.00,,,,,
574,-97413634,35442510,0.00,,,,,
99,-97531698,35580130,0.00,,,,,
164,-97534392,35580090,0.00,,,,,
100,-97489469,35489850,0.00,,,,,
705,-97488168,35493162,0.00,,,,,
101,-97494178,35507726,0.00,,,,,
150,-97491475,35507713,0.00,,,,,
102,-97548241,35435014,0.00,,,,,
913,-97547921,35432483,0.00,,,,,
103,-97547943,35420504,0.00,,,,,
550,-97547930,35416679,0.00,,,,,
104,-97544966,35453877,0.00,,,,,
909,-97543880,35451551,0.00,,,,,
105,-97521173,35458070,0.00,,,,,
1026,-97521128,35460277,0.00,,,,,
106,-97601011,35493296,0.00,,,,,
1299,-97599155,35493300,0.00,,,,,
107,-97495434,35482292,0.00,,,,,
137,-97493054,35482463,0.00,,,,,
10107,-97495435,35482283,0.00,,,,,
1018,-97494548,35478239,0.00,,,,,
20107,-97495434,35482289,0.00,,,,,
1239,-97494511,35482497,0.00,,,,,
108,-97529602,35493260,0.00,,,,,
1294,-97528542,35493262,0.00,,,,,
109,-97565790,35493152,0.00,,,,,
986,-97572483,35493191,0.00,,,,,
110,-97601292,35493302,0.00,,,,,
343,-97604500,35493309,0.00,,,,,
111,-97619184,35478800,0.00,,,,,
762,-97622409,35478811,0.00,,,,,
112,-97481580,35231600,0.00,,,,,
1153,-97516386,35467765,0.00,,,,,
1375,-97474040,35218370,0.00,,,,,
113,-97505737,35489693,0.00,,,,,
1308,-97519390,35472441,0.00,,,,,
114,-97583755,35522284,0.00,,,,,
450,-97583420,35518478,0.00,,,,,
503,-97516426,35466310,0.00,,,,,
116,-97502674,35482357,0.00,,,,,
10116,-97502674,35482354,0.00,,,,,
130,-97498747,35482316,0.00,,,,,
117,-97600908,35478780,0.00,,,,,
600,-97597595,35478770,0.00,,,,,
118,-97529861,35478750,0.00,,,,,
606,-97526779,35478761,0.00,,,,,
119,-97519912,35472312,0.00,,,,,
120,-97530184,35478750,0.00,,,,,
609,-97533397,35478899,0.00,,,,,
121,-97601219,35478780,0.00,,,,,
354,-97605666,35478780,0.00,,,,,
122,-97517856,35472197,0.00,,,,,
10081,-97519710,35472868,0.00,,,,,
123,-97521372,35467867,0.00,,,,,
197,-97527460,35467853,0.00,,,,,
593,-97476730,35486032,0.00,,,,,
126,-97489098,35482065,0.00,,,,,
127,-97488020,35483054,0.00,,,,,
128,-97489833,35483185,0.00,,,,,
129,-97491606,35483197,0.00,,,,,
131,-97509071,35482369,0.00,,,,,
132,-97511332,35482368,0.00,,,,,
10132,-97511331,35482368,0.00,,,,,
133,-97514126,35477969,0.00,,,,,
148,-97514178,35482372,0.00,,,,,
775,-97514221,35474983,0.00,,,,,
134,-97513970,35481337,0.00,,,,,
136,-97511289,35482368,0.00,,,,,
135,-97514612,35482375,0.00,,,,,
10136,-97511287,35482368,0.00,,,,,
773,-97505573,35482389,0.00,,,,,
138,-97491172,35483073,0.00,,,,,
139,-97487788,35482872,0.00,,,,,
140,-97489209,35482066,0.00,,,,,
776,-97489517,35483409,0.00,,,,,
141,-97476699,35496839,0.00,,,,,
945,-97476690,35500591,0.00,,,,,
1051,-97468054,35493139,0.00,,,,,
144,-97450220,35493190,0.00,,,,,
1030,-97441637,35491144,0.00,,,,,
145,-97450721,35485802,0.00,,,,,
146,-97453189,35485803,0.00,,,,,
147,-97457169,35485803,0.00,,,,,
1060,-97515957,35482247,0.00,,,,,
149,-97496807,35493250,0.00,,,,,
610,-97507881,35493240,0.00,,,,,
731,-97487305,35507701,0.00,,,,,
151,-97485402,35507835,0.00,,,,,
777,-97485410,35512203,0.00,,,,,
152,-97485400,35508478,0.00,,,,,
780,-97487884,35507700,0.00,,,,,
153,-97485408,35514026,0.00,,,,,
156,-97485411,35515536,0.00,,,,,
154,-97485409,35516921,0.00,,,,,
389,-97485397,35520539,0.00,,,,,
155,-97485410,35517842,0.00,,,,,
390,-97485408,35513776,0.00,,,,,
157,-97494437,35496710,0.00,,,,,
1071,-97494472,35493065,0.00,,,,,
158,-97494471,35493271,0.00,,,,,
1061,-97494415,35498095,0.00,,,,,
159,-97521305,35439410,0.00,,,,,
1039,-97515214,35439415,0.00,,,,,
160,-97521251,35466611,0.00,,,,,
449,-97521260,35467978,0.00,,,,,
161,-97532521,35494177,0.00,,,,,
1097,-97531671,35493103,0.00,,,,,
162,-97531282,35487871,0.00,,,,,
406,-97530112,35485901,0.00,,,,,
163,-97531434,35550987,0.00,,,,,
801,-97529750,35544687,0.00,,,,,
416,-97541406,35580112,0.00,,,,,
165,-97531298,35567404,0.00,,,,,
166,-97531269,35564367,0.00,,,,,
167,-97531276,35562278,0.00,,,,,
1091,-97531260,35559283,0.00,,,,,
168,-97531295,35556539,0.00,,,,,
1300,-97531371,35553779,0.00,,,,,
169,-97529750,35544732,0.00,,,,,
409,-97531434,35551255,0.00,,,,,
170,-97543119,35474750,0.00,,,,,
680,-97540863,35474751,0.00,,,,,
172,-97561340,35493139,0.00,,,,,
433,-97565660,35493338,0.00,,,,,
173,-97565650,35498716,0.00,,,,,
1101,-97565646,35500529,0.00,,,,,
174,-97565650,35500270,0.00,,,,,
814,-97565650,35495759,0.00,,,,,
175,-97565670,35513805,0.00,,,,,
1107,-97565675,35509950,0.00,,,,,
176,-97565660,35521711,0.00,,,,,
813,-97565660,35518602,0.00,,,,,
177,-97565530,35417773,0.00,,,,,
1163,-97566079,35420670,0.00,,,,,
816,-97546895,35478563,0.00,,,,,
179,-97536928,35474770,0.00,,,,,
836,-97534323,35474507,0.00,,,,,
180,-97534502,35471830,0.00,,,,,
861,-97528510,35472197,0.00,,,,,
1278,-97525822,35472143,0.00,,,,,
182,-97547074,35511206,0.00,,,,,
193,-97547661,35508700,0.00,,,,,
183,-97547680,35522065,0.00,,,,,
381,-97547622,35519008,0.00,,,,,
184,-97565643,35536396,0.00,,,,,
811,-97567865,35532030,0.00,,,,,
185,-97579877,35536751,0.00,,,,,
385,-97583802,35536810,0.00,,,,,
186,-97588464,35536819,0.00,,,,,
1116,-97592235,35536820,0.00,,,,,
187,-97592020,35522296,0.00,,,,,
692,-97587692,35522287,0.00,,,,,
188,-97600958,35522340,0.00,,,,,
854,-97596568,35522318,0.00,,,,,
833,-97564235,35536532,0.00,,,,,
1111,-97547540,35534546,0.00,,,,,
191,-97547677,35524815,0.00,,,,,
192,-97547070,35513033,0.00,,,,,
194,-97547660,35506800,0.00,,,,,
1122,-97547660,35503813,0.00,,,,,
195,-97547662,35499354,0.00,,,,,
835,-97547680,35494585,0.00,,,,,
196,-97547820,35493338,0.00,,,,,
198,-97530626,35467868,0.00,,,,,
199,-97534734,35467857,0.00,,,,,
200,-97537004,35467856,0.00,,,,,
201,-97541548,35467828,0.00,,,,,
202,-97546138,35467806,0.00,,,,,
436,-97548381,35467811,0.00,,,,,
203,-97549791,35468924,0.00,,,,,
837,-97550816,35471605,0.00,,,,,
204,-97547247,35467816,0.00,,,,,
447,-97543254,35467818,0.00,,,,,
205,-97536043,35467857,0.00,,,,,
1468,-97531797,35467864,0.00,,,,,
206,-97541241,35485970,0.00,,,,,
1123,-97555160,35485929,0.00,,,,,
208,-97556473,35485921,0.00,,,,,
454,-97552015,35485941,0.00,,,,,
209,-97565466,35485880,0.00,,,,,
219,-97561176,35485891,0.00,,,,,
453,-97574326,35485958,0.00,,,,,
851,-97583351,35491346,0.00,,,,,
212,-97583370,35502157,0.00,,,,,
213,-97583390,35508732,0.00,,,,,
214,-97583430,35530458,0.00,,,,,
215,-97583421,35535424,0.00,,,,,
1274,-97579708,35536750,0.00,,,,,
1124,-97583370,35496698,0.00,,,,,
217,-97583350,35491141,0.00,,,,,
452,-97583360,35489015,0.00,,,,,
218,-97569909,35485917,0.00,,,,,
858,-97537717,35485981,0.00,,,,,
221,-97570512,35444857,0.00,,,,,
222,-97583400,35511170,0.00,,,,,
223,-97576418,35420705,0.00,,,,,
1161,-97573854,35420690,0.00,,,,,
224,-97581443,35444848,0.00,,,,,
876,-97578284,35446352,0.00,,,,,
225,-97575049,35447500,0.00,,,,,
226,-97514072,35439410,0.00,,,,,
579,-97511575,35439320,0.00,,,,,
1130,-97506840,35439672,0.00,,,,,
227,-97548425,35435201,0.00,,,,,
1280,-97556954,35435159,0.00,,,,,
228,-97538900,35435231,0.00,,,,,
229,-97532223,35435240,0.00,,,,,
524,-97529634,35435250,0.00,,,,,
230,-97530160,35435265,0.00,,,,,
10030,-97520030,35472450,0.00,,,,,
231,-97530150,35439589,0.00,,,,,
10230,-97530159,35435265,0.00,,,,,
507,-97530205,35430601,0.00,,,,,
232,-97530150,35442681,0.00,,,,,
766,-97529814,35462190,0.00,,,,,
233,-97525904,35464301,0.00,,,,,
265,-97530268,35464195,0.00,,,,,
863,-97530327,35464270,0.00,,,,,
234,-97565579,35400995,0.00,,,,,
235,-97565590,35398952,0.00,,,,,
236,-97565590,35395813,0.00,,,,,
502,-97565560,35393221,0.00,,,,,
237,-97565582,35391074,0.00,,,,,
868,-97565570,35388736,0.00,,,,,
238,-97565540,35414807,0.00,,,,,
485,-97554399,35435180,0.00,,,,,
491,-97554620,35435632,0.00,,,,,
240,-97552888,35452831,0.00,,,,,
872,-97547960,35453051,0.00,,,,,
241,-97530179,35409052,0.00,,,,,
242,-97530150,35405130,0.00,,,,,
1172,-97530139,35402324,0.00,,,,,
243,-97530109,35395221,0.00,,,,,
244,-97530108,35393515,0.00,,,,,
245,-97565584,35394551,0.00,,,,,
488,-97565590,35396307,0.00,,,,,
246,-97543753,35391100,0.00,,,,,
247,-97538834,35391100,0.00,,,,,
513,-97535143,35391096,0.00,,,,,
248,-97521397,35391707,0.00,,,,,
888,-97525533,35391710,0.00,,,,,
249,-97530122,35399625,0.00,,,,,
889,-97530140,35404370,0.00,,,,,
250,-97506810,35444005,0.00,,,,,
527,-97506800,35447972,0.00,,,,,
259,-97494734,35438908,0.00,,,,,
252,-97494749,35435469,0.00,,,,,
535,-97494738,35439221,0.00,,,,,
253,-97468427,35420810,0.00,,,,,
254,-97463139,35420800,0.00,,,,,
