"from_node","to_node","flows"
848732,848733,19.7755786648776
848732,848734,21.6739349211674
848732,848735,151.505474063005
848732,848736,24.0925253880638
848732,848737,10.2032874874203
848732,848738,1.3690036900369
848732,848739,6.47064743374706
848732,848740,5.7380073800738
848732,848741,120.895611600744
848732,848742,17.3049312311305
848732,848743,22.9855143179531
848732,848744,36.1300966728676
848732,848745,17.0429386112043
848732,848746,5.47064743374706
848732,848747,20.4119423012412
848732,848748,9.47064743374706
848732,848749,64.8990271720899
848732,848750,86.724192613827
848732,848751,31.5631728218109
848732,848752,8.83428379738343
848732,848753,2.3690036900369
848732,848754,30.2958128754841
848732,848755,3.73264005367326
848732,848756,2.3690036900369
848732,848757,2
848732,848758,11.2032874874203
848732,848759,297.426641456497
848732,848760,47.759812143576
848732,848761,123.451800799
848732,848762,3.3690036900369
848732,848763,2.3690036900369
848732,848764,3.3690036900369
848732,848765,35.0805098960081
848732,848766,6.47064743374706
848732,848767,6.10164374371016
848732,848768,347.388124790339
848732,848769,14.514866884206
848732,848770,0
848732,848771,22.5135860449514
848732,848772,2.73264005367326
848732,848773,25.149949681315
848732,848774,49.4309414168522
848732,848775,32.9788661522979
848732,848776,9.47064743374706
848732,848777,1.3690036900369
848732,848778,2.3690036900369
848732,848779,1.3690036900369
848732,848780,8.10164374371016
848732,848781,24.194169131774
848732,848782,0
848732,848783,6.10164374371016
848732,848784,9.51486688420603
848732,848785,12.8838705742429
848732,848786,26.5578054954103
848732,848787,361.262877008935
848732,848788,11.2032874874203
848732,848789,4.3690036900369
848732,848790,12.9412948674941
848732,848791,4.3690036900369
848732,848792,17.3491506815895
848732,848793,13.2032874874203
848732,848794,132.820895977555
848732,848795,52.5420389741087
848732,848796,2.3690036900369
848732,848797,14.2032874874203
848732,848798,2.73264005367326
848732,848799,0.3690036900369
848732,848800,3.10164374371016
848732,848801,74.5449361105181
848732,848802,31.8251654417371
848732,848803,9.10164374371016
848732,848804,200.885547863743
848732,848805,210.649202525083
848732,848806,2.3690036900369
848732,848807,9.57229117745723
848732,848808,7.10164374371016
848732,848809,18.310298557531
848732,848810,36.9147936933915
848732,848811,29.1888018053734
848732,848812,9.20328748742033
848732,848813,17.7755786648776
848732,848814,59.1784026104724
848732,848815,4.10164374371016
848732,848816,3.73264005367326
848732,848817,159.678173889177
848732,848818,34.0925253880638
848732,848819,4.7380073800738
848732,848820,2.3690036900369
848732,848821,12.4706474337471
848732,848822,520.902534231954
848732,848823,3.73264005367326
848732,848824,5.47064743374706
848732,848825,3.3690036900369
848732,848826,4.10164374371016
848732,848827,73.9445274618035
848732,848828,8.47064743374706
848732,848829,18.35451800799
848732,848830,44.3453996523436
848732,848831,12.9412948674941
848732,848832,58.3321033210332
848732,848833,11.2032874874203
848732,848834,18.9359275410936
848732,848835,1
848732,848836,6.83428379738343
848732,848837,303.331981336342
848732,848838,18.7235216980269
848732,848839,37.194169131774
848732,848840,225.249611173798
848732,848841,82.9969198865542
848732,848842,4.10164374371016
848732,848843,10.514866884206
848732,848844,4.3690036900369
848732,848845,23.8772224085877
848732,848846,1
848732,848847,28.2958128754841
848732,848848,62.9230581562014
848732,848849,141.272879753591
848732,848850,2.73264005367326
848732,848851,255.149827696624
848732,848852,32.0284529291574
848732,848853,36.9321765118478
848732,848854,0.3690036900369
848732,848855,5.47064743374706
848732,848856,63.2292702265866
848732,848857,46.3387514866884
848732,848858,26.0871580616633
848732,848859,3.7380073800738
848732,848860,4.10164374371016
848732,848861,32.9214418590467
848732,848862,74.5007166600592
848732,848863,11.2086548138209
848732,848864,18.8838705742429
848732,848865,4.3690036900369
848732,848866,2.3690036900369
848732,848867,10.514866884206
848732,848868,2.73264005367326
848732,848869,75.4312768747522
848732,848870,16.6739349211674
848732,848871,15.310298557531
848732,848872,10.2032874874203
848732,848873,224.811167698454
848732,848874,900.474428959166
848732,848875,27.5631728218109
848732,848876,14.3049312311305
848732,848877,3.73264005367326
848732,848878,253.340764234089
848732,848879,23.5135860449514
848732,848880,27.6152297886615
848732,848881,5.47064743374706
848732,848882,91.194840047574
848732,848883,0
848732,848884,323.155530480925
848732,848885,37.5966576194688
848732,848886,44.3908084535391
848732,848887,75.1639169284255
848732,848888,55.5940959409594
848732,848889,25.7127870452258
848732,848890,18.7755786648776
848732,848891,3.10164374371016
848732,848892,32.7168735323717
848732,848893,1
848732,848894,13.9412948674941
848732,848895,5.10164374371016
848732,848896,6.10164374371016
848732,848897,14.6739349211674
848732,848898,0
848732,848899,13.514866884206
848732,848900,20.0429386112043
848732,848901,63.4846146808576
848732,848902,41.2891647098289
848732,848903,71.0006709158001
848732,848904,48.7023878503248
848732,848905,35.2850782226831
848732,848906,1
848732,848907,11.4706474337471
848732,848908,110.970418712452
848732,848909,7.41322314049587
848732,848910,0
848732,848911,57.6556982098747
848732,848912,0
848732,848913,96.0572413162148
848732,848914,8.10164374371016
848732,848915,6.73264005367326
848732,848916,21.1445823549145
